TRUE,M5,M2,M1,M3,M4,Domain
1,0.9999,0.06018,0.23375314,0.464851884,0.446317198,taobao
1,0.9999,0.06018,0.17766622,0.439159732,0.419416354,meituan
1,0.9999,0.06018,0.23242891,0.171937346,0.458050237,360buyimg
1,0.9999,0.06018,0.08704507,0.451107042,0.356641549,jd
1,0.9998,0.731,0.009985536,0.244231322,0.302189875,suning
1,0.9982,0.731,0.10537982,0.424827892,0.350515874,meituan
1,0.9977,0.00051,0.18891925,0.51291155,0.431193475,meituan
1,0.99735,0.00051,0.009829491,0.358753695,0.305290644,mi
1,0.997,0.06018,0.401587,0.6387122,0.5809909,taobao
1,0.997,0.731,0.014000714,0.408320428,0.3080605,yihaodianimg
1,0.9958,0.06018,0.006759167,0.4039755,0.302271417,alibaba
1,0.9952,0.02,0.007065386,0.401959232,0.30377577,taobao
1,0.9949,0.02,0.102464765,0.461158859,0.368905336,meituan
1,0.9948,0.002,0.109090716,0.46461443,0.373873501,taobao
1,0.9945,0.00051,0.009746671,0.405608003,0.30370267,alibaba
1,0.99445,0.00051,0.19947407,0.519404442,0.436511849,jd
1,0.9943,0.002,0.096196026,0.453917616,0.366767218,jd
1,0.99365,0.06018,0.097881705,0.453809023,0.368397194,360buyimg
1,0.99345,0.731,0.014423937,0.408334362,0.306406756,taobao
1,0.9921,0.31,0.09079358,0.451316148,0.361185506,tbcdn
1,0.992,0.05,0.2519017,0.54994102,0.47243119,360buyimg
1,0.9918,0.002,0.15711564,0.490669384,0.407760948,vmall
1,0.9915,0.05,0.13319075,0.47563445,0.391343525,taobao
1,0.9909,0.731,0.20653099,0.523718594,0.439261693,tbcdn
1,0.9903,0.002,0.14393923,0.481883538,0.398297461,meituan
1,0.9894,0.731,0.16716805,0.49834083,0.412127635,jd
1,0.9894,0.03,0.009899855,0.404579913,0.301589899,hc360
1,0.98845,0.00051,0.17694733,0.500008398,0.421553131,meituan
1,0.9878,0.02,0.24554989,0.547049934,0.464774923,taobao
1,0.98765,0.02,0.45796627,0.671659762,0.615506389,huiqituan
1,0.9876,0.00051,0.1154564,0.46323384,0.37790948,blizzard
1,0.9876,0.731,0.15297043,0.491702258,0.399699301,meituan
1,0.9865,0.00051,0.45796627,0.671059762,0.615266389,jd
1,0.98535,0.06018,0.16569862,0.479915172,0.407199034,taobao
1,0.98485,0.01,0.10543394,0.457380364,0.369123758,alibaba
1,0.9846,0.02,0.22098312,0.521349872,0.453878184,360buyimg
1,0.9845,0.263,0.08577353,0.448744118,0.352781471,alimama
1,0.9839,0.3764,0.12559533,0.474037198,0.379246731,taobao
1,0.98355,0.731,0.007753611,0.396932167,0.301347528,tbcdn
0,0.98275,0.03,0.18153343,0.499760058,0.423593401,jd
1,0.98255,0.01,0.40618852,0.596553112,0.573861964,meituan
0,0.98105,0.731,0.09164634,0.445147804,0.360162438,suning
1,0.98015,0.03,0.18311363,0.499388178,0.424129541,meituan
0,0.9794,0.731,0.23112968,0.531677808,0.454680776,blizzard
1,0.979,0.01,0.009603322,0.403681993,0.295682325,360buyimg
1,0.97875,0.06018,0.010338694,0.396083216,0.302077086,amazon
1,0.9785,0.731,0.15731686,0.492950116,0.398301802,yihaodianimg
1,0.97805,0.731,0.25217098,0.543862588,0.468929686,taobao
1,0.9774,0.731,0.2032491,0.52110946,0.42934437,ksmobile
1,0.9773,0.01,0.13513944,0.478403664,0.382987608,vmall
1,0.9768,0.03,0.008945197,0.401927118,0.294921638,fkwjdf
1,0.9765,0.731,0.009228617,0.39793717,0.298060032,taobao
1,0.9761,0.00051,0.105858624,0.435915174,0.359761037,taobao
1,0.9755,0.731,0.098053545,0.452552127,0.358647482,jd
0,0.9754,0.002,0.09118682,0.445392092,0.356060774,meituan
1,0.975,0.01,0.25675464,0.548372784,0.468988248,jd
1,0.97455,0.03,0.35225716,0.607954296,0.533860012,taobao
1,0.9739,0.253,0.165238,0.4917828,0.4055266,taobao
1,0.97385,0.731,0.0992758,0.45052548,0.36058306,gameloft
1,0.9726,0.05,0.15784305,0.48890583,0.398400135,ksmobile
1,0.972,0.731,0.12005478,0.462352868,0.374498346,alibaba
0,0.972,0.00051,0.36134017,0.596484102,0.551378119,vmall
1,0.9713,0.42,0.09686133,0.451196798,0.355772931,tbcdn
1,0.97125,0.3764,0.08618495,0.45147097,0.343259465,360buyimg
1,0.97035,0.3516,0.26964563,0.558427378,0.473481941,jd
1,0.9699,0.31,0.10034886,0.456009316,0.355334202,taobao
1,0.96855,0.731,0.006833583,0.40258015,0.287053508,taobao
1,0.96815,0.731,0.12099409,0.466676454,0.370025863,alibaba
1,0.96805,0.731,0.005983144,0.395669886,0.290958201,taobao
1,0.9672,0.731,0.17874858,0.488969148,0.419154006,ksmobile
1,0.9662,0.00051,0.269353,0.5379718,0.4859971,tbcdn
1,0.96455,0.002,0.14883652,0.468821912,0.398275564,jd
1,0.96395,0.731,0.25554192,0.545325152,0.463249344,alimama
